rechiseled:blocks/acacia_planks_beams | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_beams
rechiseled:blocks/cherry_planks_wavy_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:cherry_planks_wavy_slab
rechiseled:blocks/cherry_planks_wavy_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:cherry_planks_wavy_slab_connecting
rechiseled:blocks/cherry_planks_wavy_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:cherry_planks_wavy_stairs
rechiseled:blocks/cherry_planks_wavy_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:cherry_planks_wavy_stairs_connecting
rechiseled:blocks/cherry_planks_woven | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:cherry_planks_woven
rechiseled:blocks/cherry_planks_woven_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:cherry_planks_woven_connecting
rechiseled:blocks/cherry_planks_woven_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:cherry_planks_woven_slab
rechiseled:blocks/cherry_planks_woven_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:cherry_planks_woven_slab_connecting
rechiseled:blocks/cherry_planks_woven_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:cherry_planks_woven_stairs
rechiseled:blocks/cherry_planks_woven_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:cherry_planks_woven_stairs_connecting
rechiseled:blocks/coal_block_carved | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_carved
rechiseled:blocks/coal_block_carved_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_carved_connecting
rechiseled:blocks/coal_block_carved_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:coal_block_carved_slab
rechiseled:blocks/coal_block_carved_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:coal_block_carved_slab_connecting
rechiseled:blocks/coal_block_carved_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_carved_stairs
rechiseled:blocks/coal_block_carved_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_carved_stairs_connecting
rechiseled:blocks/coal_block_chiseled | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_chiseled
rechiseled:blocks/coal_block_chiseled_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_chiseled_connecting
rechiseled:blocks/coal_block_chiseled_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:coal_block_chiseled_slab
rechiseled:blocks/coal_block_chiseled_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:coal_block_chiseled_slab_connecting
rechiseled:blocks/coal_block_chiseled_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_chiseled_stairs
rechiseled:blocks/coal_block_chiseled_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_chiseled_stairs_connecting
rechiseled:blocks/coal_block_circles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_circles
rechiseled:blocks/coal_block_circles_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_circles_connecting
rechiseled:blocks/coal_block_circles_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:coal_block_circles_slab
rechiseled:blocks/coal_block_circles_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:coal_block_circles_slab_connecting
rechiseled:blocks/coal_block_circles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_circles_stairs
rechiseled:blocks/coal_block_circles_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_circles_stairs_connecting
rechiseled:blocks/coal_block_compacted | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_compacted
rechiseled:blocks/coal_block_compacted_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_compacted_connecting
rechiseled:blocks/coal_block_compacted_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:coal_block_compacted_slab
rechiseled:blocks/coal_block_compacted_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:coal_block_compacted_slab_connecting
rechiseled:blocks/coal_block_compacted_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_compacted_stairs
rechiseled:blocks/coal_block_compacted_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_compacted_stairs_connecting
rechiseled:blocks/coal_block_ovals | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_ovals
rechiseled:blocks/coal_block_ovals_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_ovals_connecting
rechiseled:blocks/coal_block_ovals_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:coal_block_ovals_slab
rechiseled:blocks/coal_block_ovals_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:coal_block_ovals_slab_connecting
rechiseled:blocks/coal_block_ovals_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_ovals_stairs
rechiseled:blocks/coal_block_ovals_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_ovals_stairs_connecting
rechiseled:blocks/coal_block_pattern | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_pattern
rechiseled:blocks/coal_block_pattern_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_pattern_connecting
rechiseled:blocks/coal_block_pattern_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:coal_block_pattern_slab
rechiseled:blocks/coal_block_pattern_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:coal_block_pattern_slab_connecting
rechiseled:blocks/coal_block_pattern_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_pattern_stairs
rechiseled:blocks/coal_block_pattern_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_pattern_stairs_connecting
rechiseled:blocks/coal_block_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_pillar
rechiseled:blocks/coal_block_pillar_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_pillar_connecting
rechiseled:blocks/coal_block_pillar_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:coal_block_pillar_slab
rechiseled:blocks/coal_block_pillar_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:coal_block_pillar_slab_connecting
rechiseled:blocks/coal_block_pillar_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_pillar_stairs
rechiseled:blocks/coal_block_pillar_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_pillar_stairs_connecting
rechiseled:blocks/coal_block_polished | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_polished
rechiseled:blocks/coal_block_polished_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:coal_block_polished_slab
rechiseled:blocks/coal_block_polished_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_polished_stairs
rechiseled:blocks/coal_block_rotated_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_rotated_bricks
rechiseled:blocks/coal_block_rotated_bricks_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_rotated_bricks_connecting
rechiseled:blocks/coal_block_rotated_bricks_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:coal_block_rotated_bricks_slab
rechiseled:blocks/coal_block_rotated_bricks_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:coal_block_rotated_bricks_slab_connecting
rechiseled:blocks/coal_block_rotated_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_rotated_bricks_stairs
rechiseled:blocks/coal_block_rotated_bricks_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_rotated_bricks_stairs_connecting
rechiseled:blocks/coal_block_small_tiles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_small_tiles
rechiseled:blocks/coal_block_small_tiles_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_small_tiles_connecting
rechiseled:blocks/coal_block_small_tiles_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:coal_block_small_tiles_slab
rechiseled:blocks/coal_block_small_tiles_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:coal_block_small_tiles_slab_connecting
rechiseled:blocks/coal_block_small_tiles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_small_tiles_stairs
rechiseled:blocks/coal_block_small_tiles_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_small_tiles_stairs_connecting
rechiseled:blocks/coal_block_stripes | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_stripes
rechiseled:blocks/coal_block_stripes_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_stripes_connecting
rechiseled:blocks/coal_block_stripes_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:coal_block_stripes_slab
rechiseled:blocks/coal_block_stripes_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:coal_block_stripes_slab_connecting
rechiseled:blocks/coal_block_stripes_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_stripes_stairs
rechiseled:blocks/coal_block_stripes_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:coal_block_stripes_stairs_connecting
rechiseled:blocks/cobbled_deepslate_beams | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:cobbled_deepslate_beams
rechiseled:blocks/cobbled_deepslate_beams_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:cobbled_deepslate_beams_connecting
rechiseled:blocks/cobbled_deepslate_beams_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:cobbled_deepslate_beams_slab
rechiseled:blocks/cobbled_deepslate_beams_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:cobbled_deepslate_beams_slab_connecting
rechiseled:blocks/cobbled_deepslate_beams_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:cobbled_deepslate_beams_stairs
rechiseled:blocks/cobbled_deepslate_beams_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:cobbled_deepslate_beams_stairs_connecting
rechiseled:blocks/cobbled_deepslate_brick_pattern | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:cobbled_deepslate_brick_pattern
