minecraft:repair_item | occultism:crafting_special_repairitem | occultism:crafting_special_repairitem
occultism:crystallize/coal | occultism:crystallize | c:dusts/coal minecraft:coal neoforge:not neoforge:tag_empty occultism:crystallize occultism:item
occultism:crystallize/crying_obsidian | occultism:crystallize | minecraft:crying_obsidian minecraft:obsidian occultism:crystallize occultism:item
occultism:crystallize/dark_gem_from_dust | occultism:crystallize | c:dusts/dark_gem c:gems/dark_gem neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/dark_gem_from_ore | occultism:crystallize | c:gems/dark_gem c:ores/dark_gem neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/diamond_from_dust | occultism:crystallize | c:dusts/diamond c:gems/diamond neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/diamond_from_ore | occultism:crystallize | c:gems/diamond c:ores/diamond neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/echo_shard | occultism:crystallize | c:dusts/echo minecraft:echo_shard neoforge:not neoforge:tag_empty occultism:crystallize occultism:item
occultism:crystallize/emerald_from_dust | occultism:crystallize | c:dusts/emerald c:gems/emerald neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/emerald_from_ore | occultism:crystallize | c:gems/emerald c:ores/emerald neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/end_stone | occultism:crystallize | c:dusts/end_stone minecraft:end_stone occultism:crystallize occultism:item
occultism:crystallize/ender_pearl | occultism:crystallize | c:dusts/ender_pearl c:ender_pearls neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/entro_from_dust | occultism:crystallize | c:dusts/entro c:gems/entro neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/fluix_from_dust | occultism:crystallize | c:dusts/fluix c:gems/fluix neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/fluorite_from_dust | occultism:crystallize | c:dusts/fluorite c:gems/fluorite neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/fluorite_from_ore | occultism:crystallize | c:gems/fluorite c:ores/fluorite neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/ice | occultism:crystallize | c:dusts/ice minecraft:ice occultism:crystallize occultism:item
occultism:crystallize/lapis_from_dust | occultism:crystallize | c:dusts/lapis c:gems/lapis neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/lapis_from_ore | occultism:crystallize | c:gems/lapis c:ores/lapis neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/obsidian | occultism:crystallize | c:dusts/obsidian minecraft:obsidian occultism:crystallize occultism:item
occultism:crystallize/otherrock | occultism:crystallize | c:dusts/otherrock occultism:crystallize occultism:item occultism:otherrock
occultism:crystallize/otherstone | occultism:crystallize | c:dusts/otherstone occultism:crystallize occultism:item occultism:otherstone
occultism:crystallize/packed_ice | occultism:crystallize | c:dusts/packed_ice minecraft:packed_ice occultism:crystallize occultism:item
occultism:crystallize/peridot_from_dust | occultism:crystallize | c:dusts/peridot c:gems/peridot neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/peridot_from_ore | occultism:crystallize | c:gems/peridot c:ores/peridot neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/prismarine_crystal | occultism:crystallize | minecraft:prismarine_crystals minecraft:prismarine_shard occultism:crystallize occultism:item
occultism:crystallize/quartz_from_block | occultism:crystallize | minecraft:quartz minecraft:quartz_block occultism:crystallize occultism:item
occultism:crystallize/quartz_from_dust | occultism:crystallize | c:dusts/quartz c:gems/quartz neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/quartz_from_ore | occultism:crystallize | c:gems/quartz c:ores/quartz neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/ruby_from_dust | occultism:crystallize | c:dusts/ruby c:gems/ruby neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/ruby_from_ore | occultism:crystallize | c:gems/ruby c:ores/ruby neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/sapphire_from_dust | occultism:crystallize | c:dusts/sapphire c:gems/sapphire neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/sapphire_from_ore | occultism:crystallize | c:gems/sapphire c:ores/sapphire neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/sulfur_from_dust | occultism:crystallize | c:dusts/sulfur c:gems/sulfur neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/sulfur_from_ore | occultism:crystallize | c:gems/sulfur c:ores/sulfur neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/topaz_from_dust | occultism:crystallize | c:dusts/topaz c:gems/topaz neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/topaz_from_ore | occultism:crystallize | c:gems/topaz c:ores/topaz neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:miner/basic_resources/andesite | occultism:miner | minecraft:andesite occultism:miner occultism:miners/basic_resources occultism:weighted_item
occultism:miner/basic_resources/basalt | occultism:miner | minecraft:basalt occultism:miner occultism:miners/basic_resources occultism:weighted_item
occultism:miner/basic_resources/blackstone | occultism:miner | minecraft:blackstone occultism:miner occultism:miners/basic_resources occultism:weighted_item
occultism:miner/basic_resources/deepslate | occultism:miner | minecraft:deepslate occultism:miner occultism:miners/basic_resources occultism:weighted_item
occultism:miner/basic_resources/diorite | occultism:miner | minecraft:diorite occultism:miner occultism:miners/basic_resources occultism:weighted_item
occultism:miner/basic_resources/end_stone | occultism:miner | minecraft:end_stone occultism:miner occultism:miners/basic_resources occultism:weighted_item
occultism:miner/basic_resources/granite | occultism:miner | minecraft:granite occultism:miner occultism:miners/basic_resources occultism:weighted_item
occultism:miner/basic_resources/mossy_cobblestone | occultism:miner | minecraft:mossy_cobblestone occultism:miner occultism:miners/basic_resources occultism:weighted_item
occultism:miner/basic_resources/mossy_stone_bricks | occultism:miner | minecraft:mossy_stone_bricks occultism:miner occultism:miners/basic_resources occultism:weighted_item
occultism:miner/basic_resources/netherrack | occultism:miner | minecraft:netherrack occultism:miner occultism:miners/basic_resources occultism:weighted_item
occultism:miner/basic_resources/stone | occultism:miner | minecraft:stone occultism:miner occultism:miners/basic_resources occultism:weighted_item
occultism:miner/debug_wand | occultism:miner | occultism:debug_wand occultism:miner occultism:otherstone occultism:weighted_item
occultism:miner/debug_wand_2 | occultism:miner | occultism:debug_wand occultism:miner occultism:otherrock occultism:weighted_item
occultism:miner/deeps/deepslate_coal_ore | occultism:miner | minecraft:deepslate_coal_ore occultism:miner occultism:miners/deeps occultism:weighted_item
occultism:miner/deeps/deepslate_copper_ore | occultism:miner | minecraft:deepslate_copper_ore occultism:miner occultism:miners/deeps occultism:weighted_item
occultism:miner/deeps/deepslate_diamond_ore | occultism:miner | minecraft:deepslate_diamond_ore occultism:miner occultism:miners/deeps occultism:weighted_item
occultism:miner/deeps/deepslate_emerald_ore | occultism:miner | minecraft:deepslate_emerald_ore occultism:miner occultism:miners/deeps occultism:weighted_item
occultism:miner/deeps/deepslate_gold_ore | occultism:miner | minecraft:deepslate_gold_ore occultism:miner occultism:miners/deeps occultism:weighted_item
occultism:miner/deeps/deepslate_iron_ore | occultism:miner | minecraft:deepslate_iron_ore occultism:miner occultism:miners/deeps occultism:weighted_item
occultism:miner/deeps/deepslate_lapis_ore | occultism:miner | minecraft:deepslate_lapis_ore occultism:miner occultism:miners/deeps occultism:weighted_item
occultism:miner/deeps/deepslate_redstone_ore | occultism:miner | minecraft:deepslate_redstone_ore occultism:miner occultism:miners/deeps occultism:weighted_item
occultism:miner/deeps/deepslate_silver_ore | occultism:miner | occultism:miner occultism:miners/deeps occultism:silver_ore_deepslate occultism:weighted_item
occultism:miner/eldritch/amethyst | occultism:miner | c:gems/amethyst neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/ancient_debris | occultism:miner | c:ores/netherite_scrap occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/arcane_crystal | occultism:miner | c:storage_blocks/arcane_crystal neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/bauxite | occultism:miner | c:storage_blocks/bauxite neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/black_quartz | occultism:miner | c:gems/black_quartz neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/clay | occultism:miner | c:clay occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/coal | occultism:miner | c:storage_blocks/coal neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/dark_gem | occultism:miner | c:storage_blocks/dark_gem neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/diamond | occultism:miner | c:storage_blocks/diamond neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/emerald | occultism:miner | c:storage_blocks/emerald neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/fluorite | occultism:miner | c:storage_blocks/fluorite neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/glowstone_dust | occultism:miner | c:dusts/glowstone occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/inferium_essence | occultism:miner | c:storage_blocks/inferium_essence neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/jade | occultism:miner | c:storage_blocks/jade neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/lapis | occultism:miner | c:storage_blocks/lapis neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/lignite_coal | occultism:miner | c:storage_blocks/lignite_coal neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/mining_dim_core | occultism:miner | occultism:miner occultism:miners/eldritch occultism:mining_dim_core occultism:weighted_item
occultism:miner/eldritch/monazite | occultism:miner | c:storage_blocks/monazite neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/onyx | occultism:miner | c:storage_blocks/onyx neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/peridot | occultism:miner | c:storage_blocks/peridot neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/prosperity_shard | occultism:miner | c:storage_blocks/prosperity_shard neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/quartz | occultism:miner | c:gems/quartz neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_aethersent | occultism:miner | c:storage_blocks/raw_aethersent neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_allthemodium | occultism:miner | c:storage_blocks/raw_allthemodium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_aluminum | occultism:miner | c:storage_blocks/raw_aluminum neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_antimony | occultism:miner | c:storage_blocks/raw_antimony neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_azure_silver | occultism:miner | c:storage_blocks/raw_azure_silver neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_cloggrum | occultism:miner | c:storage_blocks/raw_cloggrum neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_cobalt | occultism:miner | c:storage_blocks/raw_cobalt neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_copper | occultism:miner | c:storage_blocks/raw_copper neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_crimson_iron | occultism:miner | c:storage_blocks/raw_crimson_iron neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_froststeel | occultism:miner | c:storage_blocks/raw_froststeel neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_gold | occultism:miner | c:storage_blocks/raw_gold neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_iesnium | occultism:miner | c:storage_blocks/raw_iesnium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_iridium | occultism:miner | c:storage_blocks/raw_iridium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_iron | occultism:miner | c:storage_blocks/raw_iron neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
