recipe_integration:aether/freezing/biomeswevegone/packed_black_ice | aether:freezing | aether:freezing biomeswevegone:black_ice biomeswevegone:packed_black_ice neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/vanillabackport/pale_oak_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded vanillabackport:pale_oak_log vanillabackport:stripped_pale_oak_log
recipe_integration:farmersdelight/cutting/vanillabackport/pale_oak_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded vanillabackport:pale_oak_wood vanillabackport:stripped_pale_oak_wood
recipe_integration:farmersdelight/cutting/voidscape/thunder_hyphae | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded voidscape:thunder_hyphae voidscape:thunder_hyphae_stripped
recipe_integration:farmersdelight/cutting/voidscape/thunder_stem | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded voidscape:thunder_stem voidscape:thunder_stem_stripped
recipe_integration:farmersdelight/cutting/would/aspen_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:aspen_log would:stripped_aspen_log
recipe_integration:farmersdelight/cutting/would/aspen_log_gazing | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:aspen_log_gazing would:stripped_aspen_log_gazing
recipe_integration:farmersdelight/cutting/would/aspen_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:aspen_wood would:stripped_aspen_wood
recipe_integration:farmersdelight/cutting/would/aspen_wood_gazing | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:aspen_wood_gazing would:stripped_aspen_wood_gazing
recipe_integration:farmersdelight/cutting/would/azalea_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:azalea_log would:stripped_azalea_log
recipe_integration:farmersdelight/cutting/would/azalea_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:azalea_wood would:stripped_azalea_wood
recipe_integration:farmersdelight/cutting/would/baobab_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:stripped_willow_log would:willow_log
recipe_integration:farmersdelight/cutting/would/baobab_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:baobab_wood would:stripped_baobab_wood
recipe_integration:farmersdelight/cutting/would/blue_spruce_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:blue_spruce_log would:stripped_blue_spruce_log
recipe_integration:farmersdelight/cutting/would/blue_spruce_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:blue_spruce_wood would:stripped_blue_spruce_wood
recipe_integration:farmersdelight/cutting/would/cedar_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:cedar_log would:stripped_cedar_log
recipe_integration:farmersdelight/cutting/would/cedar_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:cedar_wood would:stripped_cedar_wood
recipe_integration:farmersdelight/cutting/would/ebony_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:ebony_log would:stripped_ebony_log
recipe_integration:farmersdelight/cutting/would/ebony_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:ebony_wood would:stripped_ebony_wood
recipe_integration:farmersdelight/cutting/would/fir_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:fir_log would:stripped_fir_log
recipe_integration:farmersdelight/cutting/would/fir_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:fir_wood would:stripped_fir_wood
recipe_integration:farmersdelight/cutting/would/mahogany_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:mahogany_log would:stripped_mahogany_log
recipe_integration:farmersdelight/cutting/would/mahogany_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:mahogany_wood would:stripped_mahogany_wood
recipe_integration:farmersdelight/cutting/would/maple_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:maple_log would:stripped_maple_log
recipe_integration:farmersdelight/cutting/would/maple_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:maple_wood would:stripped_maple_wood
recipe_integration:farmersdelight/cutting/would/palm_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:palm_log would:stripped_palm_log
recipe_integration:farmersdelight/cutting/would/palm_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:palm_wood would:stripped_palm_wood
recipe_integration:farmersdelight/cutting/would/pine_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:pine_log would:stripped_pine_log
recipe_integration:farmersdelight/cutting/would/pine_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:pine_wood would:stripped_pine_wood
recipe_integration:farmersdelight/cutting/would/stripped_ebony_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:item.axe.strip neoforge:mod_loaded would:ebony_heartwood_log would:stripped_ebony_log
recipe_integration:farmersdelight/cutting/would/stripped_ebony_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:item.axe.strip neoforge:mod_loaded would:ebony_heartwood would:stripped_ebony_wood
recipe_integration:farmersdelight/cutting/would/walnut_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:stripped_walnut_log would:walnut_log
recipe_integration:farmersdelight/cutting/would/walnut_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:stripped_walnut_wood would:walnut_wood
recipe_integration:farmersdelight/cutting/would/willow_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:baobab_log would:stripped_baobab_log
recipe_integration:farmersdelight/cutting/would/willow_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded would:stripped_willow_wood would:willow_wood
recipe_integration:farmersdelight/milk_bottle_from_bucket/aether_skyroot | minecraft:crafting_shapeless | aether:skyroot_milk_bucket farmersdelight:milk_bottle minecraft:crafting_shapeless minecraft:glass_bottle neoforge:mod_loaded
recipe_integration:farmersdelight/milk_bottle_from_bucket/exdeorum_porcelain | minecraft:crafting_shapeless | exdeorum:porcelain_milk_bucket farmersdelight:milk_bottle minecraft:crafting_shapeless minecraft:glass_bottle neoforge:mod_loaded
recipe_integration:farmersdelight/milk_bottle_from_bucket/forbidden_arcanus_edelwood | minecraft:crafting_shapeless | farmersdelight:milk_bottle forbidden_arcanus:edelwood_milk_bucket minecraft:crafting_shapeless minecraft:glass_bottle neoforge:mod_loaded
recipe_integration:farmersdelight/milk_bucket_from_bottle/aether_skyroot | minecraft:crafting_shapeless | aether:skyroot_bucket aether:skyroot_milk_bucket farmersdelight:milk_bottle minecraft:crafting_shapeless neoforge:mod_loaded
recipe_integration:farmersdelight/milk_bucket_from_bottle/exdeorum_porcelain | minecraft:crafting_shapeless | exdeorum:porcelain_bucket exdeorum:porcelain_milk_bucket farmersdelight:milk_bottle minecraft:crafting_shapeless neoforge:mod_loaded
recipe_integration:farmersdelight/milk_bucket_from_bottle/forbidden_arcanus_edelwood | minecraft:crafting_shapeless | farmersdelight:milk_bottle forbidden_arcanus:edelwood_bucket forbidden_arcanus:edelwood_milk_bucket minecraft:crafting_shapeless neoforge:mod_loaded
recipe_integration:immersiveengineering/arcfurnace/ore_to_ingot/adamantite | immersiveengineering:arc_furnace | c:ingots/adamantite c:ores/adamantite c:slag immersiveengineering:arc_furnace minecraft:item neoforge:mod_loaded neoforge:not neoforge:tag_empty
recipe_integration:immersiveengineering/arcfurnace/ore_to_ingot/antimony | immersiveengineering:arc_furnace | c:ingots/antimony c:ores/antimony c:slag immersiveengineering:arc_furnace minecraft:item neoforge:mod_loaded neoforge:not neoforge:tag_empty
recipe_integration:immersiveengineering/arcfurnace/ore_to_ingot/arlemite | immersiveengineering:arc_furnace | c:ingots/arlemite c:ores/arlemite c:slag immersiveengineering:arc_furnace minecraft:item neoforge:mod_loaded neoforge:not neoforge:tag_empty
recipe_integration:immersiveengineering/arcfurnace/ore_to_ingot/baronyte | immersiveengineering:arc_furnace | c:ingots/baronyte c:ores/baronyte c:slag immersiveengineering:arc_furnace minecraft:item neoforge:mod_loaded neoforge:not neoforge:tag_empty
recipe_integration:immersiveengineering/arcfurnace/ore_to_ingot/basaltic_mineral_sand | immersiveengineering:arc_furnace | c:ingots/iron c:ores/basaltic_mineral_sand c:slag immersiveengineering:arc_furnace minecraft:item neoforge:mod_loaded neoforge:not neoforge:tag_empty
recipe_integration:immersiveengineering/arcfurnace/ore_to_ingot/beryllium | immersiveengineering:arc_furnace | c:ingots/beryllium c:ores/beryllium c:slag immersiveengineering:arc_furnace minecraft:item neoforge:mod_loaded neoforge:not neoforge:tag_empty
recipe_integration:immersiveengineering/arcfurnace/ore_to_ingot/blazium | immersiveengineering:arc_furnace | c:ingots/blazium c:ores/blazium c:slag immersiveengineering:arc_furnace minecraft:item neoforge:mod_loaded neoforge:not neoforge:tag_empty
recipe_integration:immersiveengineering/arcfurnace/ore_to_ingot/bornite | immersiveengineering:arc_furnace | c:ingots/copper c:ores/bornite c:slag immersiveengineering:arc_furnace minecraft:item neoforge:mod_loaded neoforge:not neoforge:tag_empty
recipe_integration:immersiveengineering/arcfurnace/ore_to_ingot/cassiterite | immersiveengineering:arc_furnace | c:ingots/tin c:ores/cassiterite c:slag immersiveengineering:arc_furnace minecraft:item neoforge:mod_loaded neoforge:not neoforge:tag_empty
recipe_integration:immersiveengineering/arcfurnace/ore_to_ingot/cassiterite_sand | immersiveengineering:arc_furnace | c:ingots/tin c:ores/cassiterite_sand c:slag immersiveengineering:arc_furnace minecraft:item neoforge:mod_loaded neoforge:not neoforge:tag_empty
recipe_integration:immersiveengineering/arcfurnace/ore_to_ingot/chalcocite | immersiveengineering:arc_furnace | c:ingots/copper c:ores/chalcocite c:slag immersiveengineering:arc_furnace minecraft:item neoforge:mod_loaded neoforge:not neoforge:tag_empty
recipe_integration:immersiveengineering/arcfurnace/ore_to_ingot/chalcopyrite | immersiveengineering:arc_furnace | c:ingots/copper c:ores/chalcopyrite c:slag immersiveengineering:arc_furnace minecraft:item neoforge:mod_loaded neoforge:not neoforge:tag_empty
recipe_integration:immersiveengineering/arcfurnace/ore_to_ingot/cloggrum | immersiveengineering:arc_furnace | c:ingots/cloggrum c:ores/cloggrum c:slag immersiveengineering:arc_furnace minecraft:item neoforge:mod_loaded neoforge:not neoforge:tag_empty
recipe_integration:immersiveengineering/arcfurnace/ore_to_ingot/cobaltite | immersiveengineering:arc_furnace | c:ingots/cobalt c:ores/cobaltite c:slag immersiveengineering:arc_furnace minecraft:item neoforge:mod_loaded neoforge:not neoforge:tag_empty
recipe_integration:immersiveengineering/arcfurnace/ore_to_ingot/elecanium | immersiveengineering:arc_furnace | c:ingots/elecanium c:ores/elecanium c:slag immersiveengineering:arc_furnace minecraft:item neoforge:mod_loaded neoforge:not neoforge:tag_empty
recipe_integration:immersiveengineering/arcfurnace/ore_to_ingot/emberstone | immersiveengineering:arc_furnace | c:ingots/emberstone c:ores/emberstone c:slag immersiveengineering:arc_furnace minecraft:item neoforge:mod_loaded neoforge:not neoforge:tag_empty
recipe_integration:immersiveengineering/arcfurnace/ore_to_ingot/froststeel | immersiveengineering:arc_furnace | c:ingots/froststeel c:ores/froststeel c:slag immersiveengineering:arc_furnace minecraft:item neoforge:mod_loaded neoforge:not neoforge:tag_empty
recipe_integration:immersiveengineering/arcfurnace/ore_to_ingot/galena | immersiveengineering:arc_furnace | c:ingots/lead c:ores/galena c:slag immersiveengineering:arc_furnace minecraft:item neoforge:mod_loaded neoforge:not neoforge:tag_empty
