quark:automation/crafting/chute | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:planks quark:chute zeta:flag
quark:building/crafting/vertslabs/jasper_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped quark:jasper_slab quark:jasper_vertical_slab zeta:flag
quark:building/crafting/vertslabs/jasper_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless quark:jasper_slab quark:jasper_vertical_slab zeta:flag
quark:building/crafting/vertslabs/jungle_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:jungle_slab quark:jungle_vertical_slab zeta:flag
quark:building/crafting/vertslabs/jungle_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:jungle_slab quark:jungle_vertical_slab zeta:flag
quark:building/crafting/vertslabs/light_blue_shingles_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:light_blue_shingles_slab quark:light_blue_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/light_blue_shingles_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:light_blue_shingles_slab quark:light_blue_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/light_gray_shingles_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:light_gray_shingles_slab quark:light_gray_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/light_gray_shingles_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:light_gray_shingles_slab quark:light_gray_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/lime_shingles_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:lime_shingles_slab quark:lime_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/lime_shingles_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:lime_shingles_slab quark:lime_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/limestone_bricks_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:limestone_bricks_slab quark:limestone_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/limestone_bricks_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:limestone_bricks_slab quark:limestone_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/limestone_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped quark:limestone_slab quark:limestone_vertical_slab zeta:flag
quark:building/crafting/vertslabs/limestone_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless quark:limestone_slab quark:limestone_vertical_slab zeta:flag
quark:building/crafting/vertslabs/magenta_shingles_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:magenta_shingles_slab quark:magenta_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/magenta_shingles_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:magenta_shingles_slab quark:magenta_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/mangrove_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mangrove_slab quark:mangrove_vertical_slab zeta:flag
quark:building/crafting/vertslabs/mangrove_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:mangrove_slab quark:mangrove_vertical_slab zeta:flag
quark:building/crafting/vertslabs/midori_block_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped quark:midori_block_slab quark:midori_block_vertical_slab zeta:flag
quark:building/crafting/vertslabs/midori_block_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless quark:midori_block_slab quark:midori_block_vertical_slab zeta:flag
quark:building/crafting/vertslabs/mossy_cobblestone_bricks_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:mossy_cobblestone_bricks_slab quark:mossy_cobblestone_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/mossy_cobblestone_bricks_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:mossy_cobblestone_bricks_slab quark:mossy_cobblestone_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/mossy_cobblestone_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mossy_cobblestone_slab quark:mossy_cobblestone_vertical_slab zeta:flag
quark:building/crafting/vertslabs/mossy_cobblestone_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:mossy_cobblestone_slab quark:mossy_cobblestone_vertical_slab zeta:flag
quark:building/crafting/vertslabs/mossy_stone_brick_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mossy_stone_brick_slab quark:mossy_stone_brick_vertical_slab zeta:flag
quark:building/crafting/vertslabs/mossy_stone_brick_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:mossy_stone_brick_slab quark:mossy_stone_brick_vertical_slab zeta:flag
quark:building/crafting/vertslabs/mud_brick_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mud_brick_slab quark:mud_brick_vertical_slab zeta:flag
quark:building/crafting/vertslabs/mud_brick_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:mud_brick_slab quark:mud_brick_vertical_slab zeta:flag
quark:building/crafting/vertslabs/myalite_bricks_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:myalite_bricks_slab quark:myalite_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/myalite_bricks_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:myalite_bricks_slab quark:myalite_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/myalite_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped quark:myalite_slab quark:myalite_vertical_slab zeta:flag
quark:building/crafting/vertslabs/myalite_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless quark:myalite_slab quark:myalite_vertical_slab zeta:flag
quark:building/crafting/vertslabs/nether_brick_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:nether_brick_slab quark:nether_brick_vertical_slab zeta:flag
quark:building/crafting/vertslabs/nether_brick_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:nether_brick_slab quark:nether_brick_vertical_slab zeta:flag
quark:building/crafting/vertslabs/netherrack_bricks_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:netherrack_bricks_slab quark:netherrack_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/netherrack_bricks_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:netherrack_bricks_slab quark:netherrack_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/oak_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:oak_slab quark:oak_vertical_slab zeta:flag
quark:building/crafting/vertslabs/oak_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:oak_slab quark:oak_vertical_slab zeta:flag
quark:building/crafting/vertslabs/orange_shingles_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:orange_shingles_slab quark:orange_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/orange_shingles_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:orange_shingles_slab quark:orange_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/oxidized_cut_copper_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:oxidized_cut_copper_slab quark:oxidized_cut_copper_vertical_slab zeta:flag
quark:building/crafting/vertslabs/oxidized_cut_copper_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:oxidized_cut_copper_slab quark:oxidized_cut_copper_vertical_slab zeta:flag
quark:building/crafting/vertslabs/permafrost_bricks_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:permafrost_bricks_slab quark:permafrost_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/permafrost_bricks_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:permafrost_bricks_slab quark:permafrost_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/permafrost_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:permafrost_slab quark:permafrost_vertical_slab zeta:flag
quark:building/crafting/vertslabs/permafrost_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:permafrost_slab quark:permafrost_vertical_slab zeta:flag
quark:building/crafting/vertslabs/pink_shingles_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:pink_shingles_slab quark:pink_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/pink_shingles_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:pink_shingles_slab quark:pink_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_andesite_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:polished_andesite_slab quark:polished_andesite_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_andesite_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:polished_andesite_slab quark:polished_andesite_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_blackstone_brick_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:polished_blackstone_brick_slab neoforge:and quark:polished_blackstone_brick_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_blackstone_brick_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:polished_blackstone_brick_slab neoforge:and quark:polished_blackstone_brick_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_blackstone_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:polished_blackstone_slab quark:polished_blackstone_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_blackstone_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:polished_blackstone_slab quark:polished_blackstone_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_calcite_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:polished_calcite_slab quark:polished_calcite_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_calcite_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:polished_calcite_slab quark:polished_calcite_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_deepslate_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:polished_deepslate_slab quark:polished_deepslate_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_deepslate_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:polished_deepslate_slab quark:polished_deepslate_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_diorite_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:polished_diorite_slab quark:polished_diorite_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_diorite_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:polished_diorite_slab quark:polished_diorite_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_dripstone_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:polished_dripstone_slab quark:polished_dripstone_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_dripstone_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:polished_dripstone_slab quark:polished_dripstone_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_granite_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:polished_granite_slab quark:polished_granite_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_granite_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:polished_granite_slab quark:polished_granite_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_jasper_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:polished_jasper_slab quark:polished_jasper_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_jasper_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:polished_jasper_slab quark:polished_jasper_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_limestone_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:polished_limestone_slab quark:polished_limestone_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_limestone_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:polished_limestone_slab quark:polished_limestone_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_myalite_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:polished_myalite_slab quark:polished_myalite_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_myalite_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:polished_myalite_slab quark:polished_myalite_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_shale_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:polished_shale_slab quark:polished_shale_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_shale_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:polished_shale_slab quark:polished_shale_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_tuff_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:polished_tuff_slab quark:polished_tuff_vertical_slab zeta:flag
quark:building/crafting/vertslabs/polished_tuff_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:polished_tuff_slab quark:polished_tuff_vertical_slab zeta:flag
quark:building/crafting/vertslabs/prismarine_brick_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:prismarine_brick_slab quark:prismarine_brick_vertical_slab zeta:flag
quark:building/crafting/vertslabs/prismarine_brick_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:prismarine_brick_slab quark:prismarine_brick_vertical_slab zeta:flag
