butchercraft:stuff_salami | butchercraft:grinder | butchercraft:extruder_tip butchercraft:grinder c:salami_mix extradelight:unripe_salami_item neoforge:mod_loaded
extradelight:cooking/oven/melon_layer_cake_item | extradelight:oven | c:butter c:chocolate/chips c:eggs c:flour c:foods/milk c:frosting/green c:frosting/lime c:frosting/pink extradelight:melon_layer_cake_item extradelight:oven extradelight:square_pan extradelight:sweetener farmersdelight:melon_juice neoforge:compound
extradelight:cooking/oven/meringue | extradelight:oven | extradelight:meringue extradelight:oven extradelight:sheet extradelight:stiff_peaks extradelight:sweetener
extradelight:cooking/oven/milk_tart_feast | extradelight:oven | c:butter c:cinnamon/ground c:eggs c:flour c:foods/milk extradelight:milk_tart_feast extradelight:oven extradelight:pie_dish extradelight:sweetener farmersdelight:pie_crust
extradelight:cooking/oven/mint_lamb_feast | extradelight:oven | c:bread/crumbs c:cooking_oil c:mint extradelight:mint_lamb_feast extradelight:oven extradelight:tray minecraft:mutton
extradelight:cooking/oven/monkey_bread_feast | extradelight:oven | c:butter c:cinnamon/ground c:dough extradelight:monkey_bread_feast extradelight:oven extradelight:square_pan extradelight:sweetener
extradelight:cooking/oven/muffin_apple | extradelight:oven | c:butter c:eggs c:flour c:foods/milk extradelight:muffin_apple extradelight:muffin_tin extradelight:oven extradelight:processed/apple extradelight:sweetener
extradelight:cooking/oven/muffin_cinnamon | extradelight:oven | c:butter c:cinnamon/ground c:eggs c:flour c:foods/milk extradelight:muffin_cinnamon extradelight:muffin_tin extradelight:oven extradelight:sweetener
extradelight:cooking/oven/muffin_ginger | extradelight:oven | c:butter c:eggs c:flour c:foods/milk extradelight:muffin_ginger extradelight:muffin_tin extradelight:oven extradelight:processed/ginger extradelight:sweetener
extradelight:cooking/oven/muffin_sweet_berry | extradelight:oven | c:butter c:eggs c:flour c:foods/milk extradelight:muffin_sweet_berry extradelight:muffin_tin extradelight:oven extradelight:sweetener minecraft:sweet_berries
extradelight:cooking/oven/nut_butter_cookie | extradelight:oven | extradelight:nut_butter_cookie extradelight:nut_butter_cookie_dough extradelight:oven extradelight:sheet
extradelight:cooking/oven/nut_butter_cookie_block | extradelight:oven | extradelight:nut_butter_cookie_block extradelight:nut_butter_cookie_dough extradelight:oven extradelight:sheet
extradelight:cooking/oven/oven/bulk/apple1 | extradelight:oven | extradelight:oven extradelight:roasted_apple extradelight:sheet minecraft:apple
extradelight:cooking/oven/oven/bulk/apple2 | extradelight:oven | extradelight:oven extradelight:roasted_apple extradelight:sheet minecraft:apple
extradelight:cooking/oven/oven/bulk/apple3 | extradelight:oven | extradelight:oven extradelight:roasted_apple extradelight:sheet minecraft:apple
extradelight:cooking/oven/oven/bulk/apple4 | extradelight:oven | extradelight:oven extradelight:roasted_apple extradelight:sheet minecraft:apple
extradelight:cooking/oven/oven/bulk/apple5 | extradelight:oven | extradelight:oven extradelight:roasted_apple extradelight:sheet minecraft:apple
extradelight:cooking/oven/oven/bulk/apple6 | extradelight:oven | extradelight:oven extradelight:roasted_apple extradelight:sheet minecraft:apple
extradelight:cooking/oven/oven/bulk/apple7 | extradelight:oven | extradelight:oven extradelight:roasted_apple extradelight:sheet minecraft:apple
extradelight:cooking/oven/oven/bulk/apple8 | extradelight:oven | extradelight:oven extradelight:roasted_apple extradelight:sheet minecraft:apple
extradelight:cooking/oven/oven/bulk/apple9 | extradelight:oven | extradelight:oven extradelight:roasted_apple extradelight:sheet minecraft:apple
extradelight:cooking/oven/oven/bulk/bacon1 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:bacon farmersdelight:cooked_bacon
extradelight:cooking/oven/oven/bulk/bacon2 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:bacon farmersdelight:cooked_bacon
extradelight:cooking/oven/oven/bulk/bacon3 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:bacon farmersdelight:cooked_bacon
extradelight:cooking/oven/oven/bulk/bacon4 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:bacon farmersdelight:cooked_bacon
extradelight:cooking/oven/oven/bulk/bacon5 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:bacon farmersdelight:cooked_bacon
extradelight:cooking/oven/oven/bulk/bacon6 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:bacon farmersdelight:cooked_bacon
extradelight:cooking/oven/oven/bulk/bacon7 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:bacon farmersdelight:cooked_bacon
extradelight:cooking/oven/oven/bulk/bacon8 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:bacon farmersdelight:cooked_bacon
extradelight:cooking/oven/oven/bulk/bacon9 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:bacon farmersdelight:cooked_bacon
extradelight:cooking/oven/oven/bulk/beef1 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:beef minecraft:cooked_beef
extradelight:cooking/oven/oven/bulk/beef2 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:beef minecraft:cooked_beef
extradelight:cooking/oven/oven/bulk/beef3 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:beef minecraft:cooked_beef
extradelight:cooking/oven/oven/bulk/beef4 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:beef minecraft:cooked_beef
extradelight:cooking/oven/oven/bulk/beef5 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:beef minecraft:cooked_beef
extradelight:cooking/oven/oven/bulk/beef6 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:beef minecraft:cooked_beef
extradelight:cooking/oven/oven/bulk/beef7 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:beef minecraft:cooked_beef
extradelight:cooking/oven/oven/bulk/beef8 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:beef minecraft:cooked_beef
extradelight:cooking/oven/oven/bulk/beef9 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:beef minecraft:cooked_beef
extradelight:cooking/oven/oven/bulk/beef_patty1 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:beef_patty farmersdelight:minced_beef
extradelight:cooking/oven/oven/bulk/beef_patty2 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:beef_patty farmersdelight:minced_beef
extradelight:cooking/oven/oven/bulk/beef_patty3 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:beef_patty farmersdelight:minced_beef
extradelight:cooking/oven/oven/bulk/beef_patty4 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:beef_patty farmersdelight:minced_beef
extradelight:cooking/oven/oven/bulk/beef_patty5 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:beef_patty farmersdelight:minced_beef
extradelight:cooking/oven/oven/bulk/beef_patty6 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:beef_patty farmersdelight:minced_beef
extradelight:cooking/oven/oven/bulk/beef_patty7 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:beef_patty farmersdelight:minced_beef
extradelight:cooking/oven/oven/bulk/beef_patty8 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:beef_patty farmersdelight:minced_beef
extradelight:cooking/oven/oven/bulk/beef_patty9 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:beef_patty farmersdelight:minced_beef
extradelight:cooking/oven/oven/bulk/bread1 | extradelight:oven | c:dough extradelight:loaf_pan extradelight:oven minecraft:bread
extradelight:cooking/oven/oven/bulk/bread2 | extradelight:oven | c:dough extradelight:loaf_pan extradelight:oven minecraft:bread
extradelight:cooking/oven/oven/bulk/bread3 | extradelight:oven | c:dough extradelight:loaf_pan extradelight:oven minecraft:bread
extradelight:cooking/oven/oven/bulk/bread4 | extradelight:oven | c:dough extradelight:loaf_pan extradelight:oven minecraft:bread
extradelight:cooking/oven/oven/bulk/bread5 | extradelight:oven | c:dough extradelight:loaf_pan extradelight:oven minecraft:bread
extradelight:cooking/oven/oven/bulk/bread6 | extradelight:oven | c:dough extradelight:loaf_pan extradelight:oven minecraft:bread
extradelight:cooking/oven/oven/bulk/bread7 | extradelight:oven | c:dough extradelight:loaf_pan extradelight:oven minecraft:bread
extradelight:cooking/oven/oven/bulk/bread8 | extradelight:oven | c:dough extradelight:loaf_pan extradelight:oven minecraft:bread
extradelight:cooking/oven/oven/bulk/bread9 | extradelight:oven | c:dough extradelight:loaf_pan extradelight:oven minecraft:bread
extradelight:cooking/oven/oven/bulk/carrot1 | extradelight:oven | extradelight:oven extradelight:roasted_carrot extradelight:sheet minecraft:carrot
extradelight:cooking/oven/oven/bulk/carrot2 | extradelight:oven | extradelight:oven extradelight:roasted_carrot extradelight:sheet minecraft:carrot
extradelight:cooking/oven/oven/bulk/carrot3 | extradelight:oven | extradelight:oven extradelight:roasted_carrot extradelight:sheet minecraft:carrot
extradelight:cooking/oven/oven/bulk/carrot4 | extradelight:oven | extradelight:oven extradelight:roasted_carrot extradelight:sheet minecraft:carrot
extradelight:cooking/oven/oven/bulk/carrot5 | extradelight:oven | extradelight:oven extradelight:roasted_carrot extradelight:sheet minecraft:carrot
extradelight:cooking/oven/oven/bulk/carrot6 | extradelight:oven | extradelight:oven extradelight:roasted_carrot extradelight:sheet minecraft:carrot
extradelight:cooking/oven/oven/bulk/carrot7 | extradelight:oven | extradelight:oven extradelight:roasted_carrot extradelight:sheet minecraft:carrot
extradelight:cooking/oven/oven/bulk/carrot8 | extradelight:oven | extradelight:oven extradelight:roasted_carrot extradelight:sheet minecraft:carrot
extradelight:cooking/oven/oven/bulk/carrot9 | extradelight:oven | extradelight:oven extradelight:roasted_carrot extradelight:sheet minecraft:carrot
extradelight:cooking/oven/oven/bulk/chicken1 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:chicken minecraft:cooked_chicken
extradelight:cooking/oven/oven/bulk/chicken2 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:chicken minecraft:cooked_chicken
extradelight:cooking/oven/oven/bulk/chicken3 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:chicken minecraft:cooked_chicken
extradelight:cooking/oven/oven/bulk/chicken4 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:chicken minecraft:cooked_chicken
extradelight:cooking/oven/oven/bulk/chicken5 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:chicken minecraft:cooked_chicken
extradelight:cooking/oven/oven/bulk/chicken6 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:chicken minecraft:cooked_chicken
extradelight:cooking/oven/oven/bulk/chicken7 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:chicken minecraft:cooked_chicken
extradelight:cooking/oven/oven/bulk/chicken8 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:chicken minecraft:cooked_chicken
extradelight:cooking/oven/oven/bulk/chicken9 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:chicken minecraft:cooked_chicken
extradelight:cooking/oven/oven/bulk/chicken_cuts1 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:chicken_cuts farmersdelight:cooked_chicken_cuts
extradelight:cooking/oven/oven/bulk/chicken_cuts2 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:chicken_cuts farmersdelight:cooked_chicken_cuts
extradelight:cooking/oven/oven/bulk/chicken_cuts3 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:chicken_cuts farmersdelight:cooked_chicken_cuts
extradelight:cooking/oven/oven/bulk/chicken_cuts4 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:chicken_cuts farmersdelight:cooked_chicken_cuts
extradelight:cooking/oven/oven/bulk/chicken_cuts5 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:chicken_cuts farmersdelight:cooked_chicken_cuts
extradelight:cooking/oven/oven/bulk/chicken_cuts6 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:chicken_cuts farmersdelight:cooked_chicken_cuts
extradelight:cooking/oven/oven/bulk/chicken_cuts7 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:chicken_cuts farmersdelight:cooked_chicken_cuts
extradelight:cooking/oven/oven/bulk/chicken_cuts8 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:chicken_cuts farmersdelight:cooked_chicken_cuts
extradelight:cooking/oven/oven/bulk/chicken_cuts9 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:chicken_cuts farmersdelight:cooked_chicken_cuts
extradelight:cooking/oven/oven/bulk/cod1 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:cod minecraft:cooked_cod
extradelight:cooking/oven/oven/bulk/cod2 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:cod minecraft:cooked_cod
extradelight:cooking/oven/oven/bulk/cod3 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:cod minecraft:cooked_cod
extradelight:cooking/oven/oven/bulk/cod4 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:cod minecraft:cooked_cod
extradelight:cooking/oven/oven/bulk/cod5 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:cod minecraft:cooked_cod
extradelight:cooking/oven/oven/bulk/cod6 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:cod minecraft:cooked_cod
extradelight:cooking/oven/oven/bulk/cod7 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:cod minecraft:cooked_cod
extradelight:cooking/oven/oven/bulk/cod8 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:cod minecraft:cooked_cod
extradelight:cooking/oven/oven/bulk/cod9 | extradelight:oven | extradelight:oven extradelight:sheet minecraft:cod minecraft:cooked_cod
extradelight:cooking/oven/oven/bulk/cod_slice1 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:cod_slice farmersdelight:cooked_cod_slice
extradelight:cooking/oven/oven/bulk/cod_slice2 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:cod_slice farmersdelight:cooked_cod_slice
extradelight:cooking/oven/oven/bulk/cod_slice3 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:cod_slice farmersdelight:cooked_cod_slice
extradelight:cooking/oven/oven/bulk/cod_slice4 | extradelight:oven | extradelight:oven extradelight:tray farmersdelight:cod_slice farmersdelight:cooked_cod_slice
