create:acacia_window | minecraft:crafting_shaped | c:glass_blocks/colorless create:acacia_window minecraft:acacia_planks minecraft:crafting_shaped
create:crushing/compat/silentgems/sapphire_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded silentgems:sapphire silentgems:sapphire_ore
create:crushing/compat/silentgems/tanzanite_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded silentgems:tanzanite silentgems:tanzanite_ore
create:crushing/compat/silentgems/topaz_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded silentgems:topaz silentgems:topaz_ore
create:crushing/compat/silentgems/turquoise_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded silentgems:turquoise silentgems:turquoise_ore
create:crushing/compat/silentgems/white_diamond_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded silentgems:white_diamond silentgems:white_diamond_ore
create:crushing/compat/simplefarming/barley | create:crushing | create:crushing create:wheat_flour neoforge:compound neoforge:mod_loaded simplefarming:barley simplefarming:barley_seeds
create:crushing/compat/simplefarming/oat | create:crushing | create:crushing create:wheat_flour neoforge:compound neoforge:mod_loaded simplefarming:oat simplefarming:oat_seeds
create:crushing/compat/simplefarming/rice | create:crushing | create:crushing create:wheat_flour neoforge:compound neoforge:mod_loaded simplefarming:rice simplefarming:rice_seeds
create:crushing/compat/simplefarming/rye | create:crushing | create:crushing create:wheat_flour neoforge:compound neoforge:mod_loaded simplefarming:rye simplefarming:rye_seeds
create:crushing/compat/thermal/apatite_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded thermal:apatite thermal:apatite_ore
create:crushing/compat/thermal/cinnabar_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded thermal:cinnabar thermal:cinnabar_ore
create:crushing/compat/thermal/niter_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded thermal:niter thermal:niter_ore
create:crushing/compat/thermal/sulfur_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded thermal:sulfur thermal:sulfur_ore
create:crushing/copper_ore | create:crushing | create:crushed_raw_copper create:crushing create:experience_nugget minecraft:cobblestone minecraft:copper_ore
create:crushing/crimsite | create:crushing | create:crimsite create:crushed_raw_iron create:crushing minecraft:iron_nugget
create:crushing/crimsite_recycling | create:crushing | create:crushed_raw_iron create:crushing create:stone_types/crimsite minecraft:iron_nugget
create:crushing/deepslate_coal_ore | create:crushing | create:crushing create:experience_nugget minecraft:coal minecraft:cobbled_deepslate minecraft:deepslate_coal_ore
create:crushing/deepslate_copper_ore | create:crushing | create:crushed_raw_copper create:crushing create:experience_nugget minecraft:cobbled_deepslate minecraft:deepslate_copper_ore
create:crushing/deepslate_diamond_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate minecraft:deepslate_diamond_ore minecraft:diamond
create:crushing/deepslate_emerald_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate minecraft:deepslate_emerald_ore minecraft:emerald
create:crushing/deepslate_gold_ore | create:crushing | create:crushed_raw_gold create:crushing create:experience_nugget minecraft:cobbled_deepslate minecraft:deepslate_gold_ore
create:crushing/deepslate_iron_ore | create:crushing | create:crushed_raw_iron create:crushing create:experience_nugget minecraft:cobbled_deepslate minecraft:deepslate_iron_ore
create:crushing/deepslate_lapis_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate minecraft:deepslate_lapis_ore minecraft:lapis_lazuli
create:crushing/deepslate_redstone_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate minecraft:deepslate_redstone_ore minecraft:redstone
create:crushing/deepslate_zinc_ore | create:crushing | create:crushed_raw_zinc create:crushing create:deepslate_zinc_ore create:experience_nugget minecraft:cobbled_deepslate
create:crushing/diamond_horse_armor | create:crushing | create:crushing minecraft:diamond minecraft:diamond_horse_armor minecraft:leather minecraft:string
create:crushing/diamond_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone minecraft:diamond minecraft:diamond_ore
create:crushing/diorite | create:crushing | create:crushing minecraft:diorite minecraft:quartz neoforge:mod_loaded neoforge:not
create:crushing/diorite_recycling | create:crushing | create:crushing create:stone_types/diorite minecraft:quartz
create:crushing/emerald_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone minecraft:emerald minecraft:emerald_ore
create:crushing/gilded_blackstone | create:crushing | create:crushing create:experience_nugget minecraft:blackstone minecraft:gilded_blackstone minecraft:gold_nugget
create:crushing/glowstone | create:crushing | create:crushing minecraft:glowstone minecraft:glowstone_dust
create:crushing/gold_ore | create:crushing | create:crushed_raw_gold create:crushing create:experience_nugget minecraft:cobblestone minecraft:gold_ore
create:crushing/golden_horse_armor | create:crushing | create:crushing minecraft:gold_ingot minecraft:gold_nugget minecraft:golden_horse_armor minecraft:leather minecraft:string
create:crushing/gravel | create:crushing | create:crushing minecraft:clay_ball minecraft:flint minecraft:gravel minecraft:sand
create:crushing/iron_horse_armor | create:crushing | create:crushing minecraft:iron_horse_armor minecraft:iron_ingot minecraft:iron_nugget minecraft:leather minecraft:string
create:crushing/iron_ore | create:crushing | create:crushed_raw_iron create:crushing create:experience_nugget minecraft:cobblestone minecraft:iron_ore
create:crushing/lapis_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone minecraft:lapis_lazuli minecraft:lapis_ore
create:crushing/lead_ore | create:crushing | c:ores/lead create:crushed_raw_lead create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/leather_horse_armor | create:crushing | create:crushing minecraft:leather minecraft:leather_horse_armor
create:crushing/nether_gold_ore | create:crushing | create:crushing create:experience_nugget minecraft:gold_nugget minecraft:nether_gold_ore minecraft:netherrack
create:crushing/nether_quartz_ore | create:crushing | create:crushing create:experience_nugget minecraft:nether_quartz_ore minecraft:netherrack minecraft:quartz
create:crushing/nether_wart_block | create:crushing | create:crushing minecraft:nether_wart minecraft:nether_wart_block
create:crushing/netherrack | create:crushing | create:cinder_flour create:crushing minecraft:netherrack neoforge:mod_loaded neoforge:not
create:crushing/nickel_ore | create:crushing | c:ores/nickel create:crushed_raw_nickel create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/obsidian | create:crushing | create:crushing create:powdered_obsidian minecraft:obsidian
create:crushing/ochrum | create:crushing | create:crushed_raw_gold create:crushing create:ochrum minecraft:gold_nugget
create:crushing/ochrum_recycling | create:crushing | create:crushed_raw_gold create:crushing create:stone_types/ochrum minecraft:gold_nugget
create:crushing/osmium_ore | create:crushing | c:ores/osmium create:crushed_raw_osmium create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/platinum_ore | create:crushing | c:ores/platinum create:crushed_raw_platinum create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/prismarine_crystals | create:crushing | create:crushing minecraft:glowstone_dust minecraft:prismarine_crystals minecraft:quartz
create:crushing/quicksilver_ore | create:crushing | c:ores/quicksilver create:crushed_raw_quicksilver create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/raw_aluminum | create:crushing | c:raw_materials/aluminum create:crushed_raw_aluminum create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/raw_aluminum_block | create:crushing | c:storage_blocks/raw_aluminum create:crushed_raw_aluminum create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/raw_copper | create:crushing | c:raw_materials/copper create:crushed_raw_copper create:crushing create:experience_nugget
create:crushing/raw_copper_block | create:crushing | c:storage_blocks/raw_copper create:crushed_raw_copper create:crushing create:experience_nugget
create:crushing/raw_gold | create:crushing | c:raw_materials/gold create:crushed_raw_gold create:crushing create:experience_nugget
create:crushing/raw_gold_block | create:crushing | c:storage_blocks/raw_gold create:crushed_raw_gold create:crushing create:experience_nugget
create:crushing/raw_iron | create:crushing | c:raw_materials/iron create:crushed_raw_iron create:crushing create:experience_nugget
create:crushing/raw_iron_block | create:crushing | c:storage_blocks/raw_iron create:crushed_raw_iron create:crushing create:experience_nugget
create:crushing/raw_lead | create:crushing | c:raw_materials/lead create:crushed_raw_lead create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/raw_lead_block | create:crushing | c:storage_blocks/raw_lead create:crushed_raw_lead create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/raw_nickel | create:crushing | c:raw_materials/nickel create:crushed_raw_nickel create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/raw_nickel_block | create:crushing | c:storage_blocks/raw_nickel create:crushed_raw_nickel create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/raw_osmium | create:crushing | c:raw_materials/osmium create:crushed_raw_osmium create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/raw_osmium_block | create:crushing | c:storage_blocks/raw_osmium create:crushed_raw_osmium create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/raw_platinum | create:crushing | c:raw_materials/platinum create:crushed_raw_platinum create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/raw_platinum_block | create:crushing | c:storage_blocks/raw_platinum create:crushed_raw_platinum create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/raw_quicksilver | create:crushing | c:raw_materials/quicksilver create:crushed_raw_quicksilver create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/raw_quicksilver_block | create:crushing | c:storage_blocks/raw_quicksilver create:crushed_raw_quicksilver create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/raw_silver | create:crushing | c:raw_materials/silver create:crushed_raw_silver create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/raw_silver_block | create:crushing | c:storage_blocks/raw_silver create:crushed_raw_silver create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/raw_tin | create:crushing | c:raw_materials/tin create:crushed_raw_tin create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/raw_tin_block | create:crushing | c:storage_blocks/raw_tin create:crushed_raw_tin create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/raw_uranium | create:crushing | c:raw_materials/uranium create:crushed_raw_uranium create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/raw_uranium_block | create:crushing | c:storage_blocks/raw_uranium create:crushed_raw_uranium create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/raw_zinc | create:crushing | c:raw_materials/zinc create:crushed_raw_zinc create:crushing create:experience_nugget
create:crushing/raw_zinc_block | create:crushing | c:storage_blocks/raw_zinc create:crushed_raw_zinc create:crushing create:experience_nugget
