securitycraft:acacia_security_sea_boat | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:acacia_security_sea_boat securitycraft:keypad_chest securitycraft:reinforced_acacia_planks securitycraft:security_sea_boats
securitycraft:reinforced_warped_pressure_plate | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_warped_planks securitycraft:reinforced_warped_pressure_plate securitycraft:wooden_pressure_plates
securitycraft:reinforced_warped_slab | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_warped_planks securitycraft:reinforced_warped_slab securitycraft:wooden_slab
securitycraft:reinforced_warped_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_warped_planks securitycraft:reinforced_warped_stairs securitycraft:wooden_stairs
securitycraft:reinforced_weathered_chiseled_copper | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_weathered_chiseled_copper securitycraft:reinforced_weathered_cut_copper_slab
securitycraft:reinforced_weathered_chiseled_copper_from_reinforced_weathered_copper_stonecutting | minecraft:stonecutting | minecraft:stonecutting securitycraft:reinforced_weathered_chiseled_copper securitycraft:reinforced_weathered_copper
securitycraft:reinforced_weathered_chiseled_copper_from_reinforced_weathered_cut_copper_stonecutting | minecraft:stonecutting | minecraft:stonecutting securitycraft:reinforced_weathered_chiseled_copper securitycraft:reinforced_weathered_cut_copper
securitycraft:reinforced_weathered_copper_grate | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_weathered_copper securitycraft:reinforced_weathered_copper_grate
securitycraft:reinforced_weathered_copper_grate_from_reinforced_weathered_copper_stonecutting | minecraft:stonecutting | minecraft:stonecutting securitycraft:reinforced_weathered_copper securitycraft:reinforced_weathered_copper_grate
securitycraft:reinforced_weathered_cut_copper | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_weathered_copper securitycraft:reinforced_weathered_cut_copper
securitycraft:reinforced_weathered_cut_copper_from_reinforced_weathered_copper_stonecutting | minecraft:stonecutting | minecraft:stonecutting securitycraft:reinforced_weathered_copper securitycraft:reinforced_weathered_cut_copper
securitycraft:reinforced_weathered_cut_copper_slab | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_weathered_cut_copper securitycraft:reinforced_weathered_cut_copper_slab
securitycraft:reinforced_weathered_cut_copper_slab_from_reinforced_weathered_copper_stonecutting | minecraft:stonecutting | minecraft:stonecutting securitycraft:reinforced_weathered_copper securitycraft:reinforced_weathered_cut_copper_slab
securitycraft:reinforced_weathered_cut_copper_slab_from_reinforced_weathered_cut_copper_stonecutting | minecraft:stonecutting | minecraft:stonecutting securitycraft:reinforced_weathered_cut_copper securitycraft:reinforced_weathered_cut_copper_slab
securitycraft:reinforced_weathered_cut_copper_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_weathered_cut_copper securitycraft:reinforced_weathered_cut_copper_stairs
securitycraft:reinforced_weathered_cut_copper_stairs_from_reinforced_weathered_copper_stonecutting | minecraft:stonecutting | minecraft:stonecutting securitycraft:reinforced_weathered_copper securitycraft:reinforced_weathered_cut_copper_stairs
securitycraft:reinforced_weathered_cut_copper_stairs_from_reinforced_weathered_cut_copper_stonecutting | minecraft:stonecutting | minecraft:stonecutting securitycraft:reinforced_weathered_cut_copper securitycraft:reinforced_weathered_cut_copper_stairs
securitycraft:reinforced_white_carpet | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_carpets securitycraft:reinforced_white_carpet securitycraft:reinforced_white_wool
securitycraft:reinforced_white_carpet_from_dye | minecraft:crafting_shapeless | c:dyes/white minecraft:crafting_shapeless securitycraft:reinforced/wool_carpets securitycraft:reinforced_carpets securitycraft:reinforced_white_carpet
securitycraft:reinforced_white_glazed_terracotta | minecraft:smelting | minecraft:smelting securitycraft:reinforced_white_glazed_terracotta securitycraft:reinforced_white_terracotta
securitycraft:reinforced_white_stained_glass | minecraft:crafting_shaped | c:dyes/white minecraft:crafting_shaped securitycraft:reinforced_glass securitycraft:reinforced_white_stained_glass
securitycraft:reinforced_white_stained_glass_pane | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_glass_panes securitycraft:reinforced_white_stained_glass securitycraft:reinforced_white_stained_glass_pane
securitycraft:reinforced_white_stained_glass_pane_from_dye | minecraft:crafting_shaped | c:dyes/white minecraft:crafting_shaped securitycraft:reinforced_glass_pane securitycraft:reinforced_glass_panes securitycraft:reinforced_white_stained_glass_pane
securitycraft:reinforced_white_terracotta | minecraft:crafting_shaped | c:dyes/white minecraft:crafting_shaped securitycraft:reinforced_hardened_clay securitycraft:reinforced_terracotta securitycraft:reinforced_white_terracotta
securitycraft:reinforced_white_wool | minecraft:crafting_shapeless | c:dyes/white minecraft:crafting_shapeless securitycraft:reinforced/wool securitycraft:reinforced_white_wool securitycraft:reinforced_wool
securitycraft:reinforced_yellow_carpet | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_carpets securitycraft:reinforced_yellow_carpet securitycraft:reinforced_yellow_wool
securitycraft:reinforced_yellow_carpet_from_dye | minecraft:crafting_shapeless | c:dyes/yellow minecraft:crafting_shapeless securitycraft:reinforced/wool_carpets securitycraft:reinforced_carpets securitycraft:reinforced_yellow_carpet
securitycraft:reinforced_yellow_glazed_terracotta | minecraft:smelting | minecraft:smelting securitycraft:reinforced_yellow_glazed_terracotta securitycraft:reinforced_yellow_terracotta
securitycraft:reinforced_yellow_stained_glass | minecraft:crafting_shaped | c:dyes/yellow minecraft:crafting_shaped securitycraft:reinforced_glass securitycraft:reinforced_yellow_stained_glass
securitycraft:reinforced_yellow_stained_glass_pane | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_glass_panes securitycraft:reinforced_yellow_stained_glass securitycraft:reinforced_yellow_stained_glass_pane
securitycraft:reinforced_yellow_stained_glass_pane_from_dye | minecraft:crafting_shaped | c:dyes/yellow minecraft:crafting_shaped securitycraft:reinforced_glass_pane securitycraft:reinforced_glass_panes securitycraft:reinforced_yellow_stained_glass_pane
securitycraft:reinforced_yellow_terracotta | minecraft:crafting_shaped | c:dyes/yellow minecraft:crafting_shaped securitycraft:reinforced_hardened_clay securitycraft:reinforced_terracotta securitycraft:reinforced_yellow_terracotta
securitycraft:reinforced_yellow_wool | minecraft:crafting_shapeless | c:dyes/yellow minecraft:crafting_shapeless securitycraft:reinforced/wool securitycraft:reinforced_wool securitycraft:reinforced_yellow_wool
securitycraft:remote_access_mine | minecraft:crafting_shaped | c:gems/diamond c:ingots/gold c:ingots/iron minecraft:crafting_shaped minecraft:redstone_torch securitycraft:remote_access_mine
securitycraft:remote_access_sentry | minecraft:crafting_shaped | c:gems/diamond c:ingots/iron c:rods/wooden minecraft:crafting_shaped minecraft:redstone_torch securitycraft:remote_access_sentry
securitycraft:retinal_scanner | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:ender_eye securitycraft:reinforced/stone_crafting_materials securitycraft:retinal_scanner
securitycraft:rift_stabilizer | minecraft:crafting_shaped | c:ingots/gold minecraft:chorus_fruit minecraft:crafting_shaped minecraft:ender_eye securitycraft:reinforced_diamond_block securitycraft:reinforced_iron_block securitycraft:rift_stabilizer
securitycraft:sand_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:sand securitycraft:block_mines securitycraft:mine securitycraft:sand_mine
securitycraft:sc_manual | minecraft:crafting_shapeless | minecraft:book minecraft:crafting_shapeless minecraft:iron_bars securitycraft:sc_manual
securitycraft:scanner_door_item | minecraft:crafting_shapeless | minecraft:crafting_shapeless securitycraft:door_indestructible_iron_item securitycraft:retinal_scanner securitycraft:scanner_door_item
securitycraft:scanner_trapdoor | minecraft:crafting_shapeless | minecraft:crafting_shapeless securitycraft:reinforced_iron_trapdoor securitycraft:retinal_scanner securitycraft:scanner_trapdoor
securitycraft:secret_acacia_hanging_sign | minecraft:crafting_shapeless | minecraft:acacia_hanging_sign minecraft:crafting_shapeless securitycraft:retinal_scanner securitycraft:secret_acacia_hanging_sign securitycraft:secret_hanging_signs
securitycraft:secret_acacia_sign_item | minecraft:crafting_shapeless | minecraft:acacia_sign minecraft:crafting_shapeless securitycraft:retinal_scanner securitycraft:secret_acacia_sign_item securitycraft:secret_signs
securitycraft:secret_bamboo_hanging_sign | minecraft:crafting_shapeless | minecraft:bamboo_hanging_sign minecraft:crafting_shapeless securitycraft:retinal_scanner securitycraft:secret_bamboo_hanging_sign securitycraft:secret_hanging_signs
securitycraft:secret_bamboo_sign_item | minecraft:crafting_shapeless | minecraft:bamboo_sign minecraft:crafting_shapeless securitycraft:retinal_scanner securitycraft:secret_bamboo_sign_item securitycraft:secret_signs
securitycraft:secret_birch_hanging_sign | minecraft:crafting_shapeless | minecraft:birch_hanging_sign minecraft:crafting_shapeless securitycraft:retinal_scanner securitycraft:secret_birch_hanging_sign securitycraft:secret_hanging_signs
securitycraft:secret_birch_sign_item | minecraft:crafting_shapeless | minecraft:birch_sign minecraft:crafting_shapeless securitycraft:retinal_scanner securitycraft:secret_birch_sign_item securitycraft:secret_signs
securitycraft:secret_cherry_hanging_sign | minecraft:crafting_shapeless | minecraft:cherry_hanging_sign minecraft:crafting_shapeless securitycraft:retinal_scanner securitycraft:secret_cherry_hanging_sign securitycraft:secret_hanging_signs
securitycraft:secret_cherry_sign_item | minecraft:crafting_shapeless | minecraft:cherry_sign minecraft:crafting_shapeless securitycraft:retinal_scanner securitycraft:secret_cherry_sign_item securitycraft:secret_signs
securitycraft:secret_crimson_hanging_sign | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:crimson_hanging_sign securitycraft:retinal_scanner securitycraft:secret_crimson_hanging_sign securitycraft:secret_hanging_signs
securitycraft:secret_crimson_sign_item | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:crimson_sign securitycraft:retinal_scanner securitycraft:secret_crimson_sign_item securitycraft:secret_signs
securitycraft:secret_dark_oak_hanging_sign | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:dark_oak_hanging_sign securitycraft:retinal_scanner securitycraft:secret_dark_oak_hanging_sign securitycraft:secret_hanging_signs
securitycraft:secret_dark_oak_sign_item | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:dark_oak_sign securitycraft:retinal_scanner securitycraft:secret_dark_oak_sign_item securitycraft:secret_signs
securitycraft:secret_jungle_hanging_sign | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:jungle_hanging_sign securitycraft:retinal_scanner securitycraft:secret_hanging_signs securitycraft:secret_jungle_hanging_sign
securitycraft:secret_jungle_sign_item | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:jungle_sign securitycraft:retinal_scanner securitycraft:secret_jungle_sign_item securitycraft:secret_signs
securitycraft:secret_mangrove_hanging_sign | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:mangrove_hanging_sign securitycraft:retinal_scanner securitycraft:secret_hanging_signs securitycraft:secret_mangrove_hanging_sign
securitycraft:secret_mangrove_sign_item | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:mangrove_sign securitycraft:retinal_scanner securitycraft:secret_mangrove_sign_item securitycraft:secret_signs
securitycraft:secret_oak_hanging_sign | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:oak_hanging_sign securitycraft:retinal_scanner securitycraft:secret_hanging_signs securitycraft:secret_oak_hanging_sign
securitycraft:secret_sign_item | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:oak_sign securitycraft:retinal_scanner securitycraft:secret_sign_item securitycraft:secret_signs
securitycraft:secret_spruce_hanging_sign | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:spruce_hanging_sign securitycraft:retinal_scanner securitycraft:secret_hanging_signs securitycraft:secret_spruce_hanging_sign
securitycraft:secret_spruce_sign_item | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:spruce_sign securitycraft:retinal_scanner securitycraft:secret_signs securitycraft:secret_spruce_sign_item
securitycraft:secret_warped_hanging_sign | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:warped_hanging_sign securitycraft:retinal_scanner securitycraft:secret_hanging_signs securitycraft:secret_warped_hanging_sign
securitycraft:secret_warped_sign_item | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:warped_sign securitycraft:retinal_scanner securitycraft:secret_signs securitycraft:secret_warped_sign_item
securitycraft:secure_redstone_interface | minecraft:crafting_shaped | minecraft:bowl minecraft:comparator minecraft:crafting_shaped minecraft:redstone_torch securitycraft:portable_radar securitycraft:reinforced_smooth_stone securitycraft:secure_redstone_interface
securitycraft:security_camera | minecraft:crafting_shaped | c:ingots/iron c:rods/wooden minecraft:crafting_shaped securitycraft:reinforced_glass securitycraft:reinforced_redstone_block securitycraft:security_camera
securitycraft:sentry | minecraft:crafting_shaped | c:dusts/redstone c:ingots/iron minecraft:crafting_shaped securitycraft:portable_radar securitycraft:reinforced_dispenser securitycraft:reinforced_iron_block securitycraft:sentry
securitycraft:smart_module | minecraft:crafting_shaped | c:ender_pearls c:ingots/iron minecraft:crafting_shaped minecraft:paper securitycraft:modules securitycraft:smart_module
securitycraft:smoker_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:smoker securitycraft:block_mines securitycraft:mine securitycraft:smoker_mine
securitycraft:smooth_crystal_quartz | minecraft:smelting | minecraft:smelting securitycraft:crystal_quartz securitycraft:smooth_crystal_quartz
securitycraft:smooth_crystal_quartz_slab | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:smooth_crystal_quartz securitycraft:smooth_crystal_quartz_slab
securitycraft:smooth_crystal_quartz_slab_from_smooth_crystal_quartz_stonecutting | minecraft:stonecutting | minecraft:stonecutting securitycraft:smooth_crystal_quartz securitycraft:smooth_crystal_quartz_slab
securitycraft:smooth_crystal_quartz_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:smooth_crystal_quartz securitycraft:smooth_crystal_quartz_stairs
securitycraft:smooth_crystal_quartz_stairs_from_smooth_crystal_quartz_stonecutting | minecraft:stonecutting | minecraft:stonecutting securitycraft:smooth_crystal_quartz securitycraft:smooth_crystal_quartz_stairs
securitycraft:sonic_security_system | minecraft:crafting_shaped | minecraft:bowl minecraft:crafting_shaped minecraft:iron_block minecraft:stick securitycraft:portable_radar securitycraft:sonic_security_system
securitycraft:speed_module | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:paper minecraft:sugar securitycraft:modules securitycraft:speed_module
securitycraft:spruce_security_sea_boat | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:keypad_chest securitycraft:reinforced_spruce_planks securitycraft:security_sea_boats securitycraft:spruce_security_sea_boat
securitycraft:stone_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:stone securitycraft:block_mines securitycraft:mine securitycraft:stone_mine
securitycraft:storage_module | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:paper securitycraft:keypad_chest securitycraft:modules securitycraft:storage_module
securitycraft:suspicious_gravel_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:suspicious_gravel securitycraft:block_mines securitycraft:mine securitycraft:suspicious_gravel_mine
securitycraft:suspicious_sand_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:suspicious_sand securitycraft:block_mines securitycraft:mine securitycraft:suspicious_sand_mine
securitycraft:taser | minecraft:crafting_shaped | c:dusts/redstone c:ingots/gold c:ingots/iron c:rods/wooden minecraft:bow minecraft:crafting_shaped securitycraft:taser
securitycraft:track_mine | minecraft:crafting_shaped | c:gunpowders c:ingots/iron c:rods/wooden minecraft:crafting_shaped securitycraft:track_mine
securitycraft:trophy_system | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped securitycraft:reinforced_iron_block securitycraft:sentry securitycraft:trophy_system
securitycraft:universal_block_modifier | minecraft:crafting_shaped | c:dusts/redstone c:gems/emerald c:ingots/iron minecraft:crafting_shaped securitycraft:universal_block_modifier
securitycraft:universal_block_reinforcer_lvl1 | minecraft:crafting_shaped | c:dusts/redstone c:gems/diamond c:glass_blocks/colorless c:rods/wooden minecraft:crafting_shaped securitycraft:laser_block securitycraft:universal_block_reinforcer securitycraft:universal_block_reinforcer_lvl1
securitycraft:universal_block_reinforcer_lvl2 | minecraft:crafting_shaped | c:dusts/redstone c:rods/wooden minecraft:crafting_shaped securitycraft:laser_block securitycraft:reinforced_black_stained_glass securitycraft:reinforced_diamond_block securitycraft:universal_block_reinforcer securitycraft:universal_block_reinforcer_lvl2
securitycraft:universal_block_reinforcer_lvl3 | minecraft:crafting_shaped | c:nether_stars c:rods/wooden minecraft:crafting_shaped securitycraft:reinforced_emerald_block securitycraft:reinforced_pink_stained_glass securitycraft:reinforced_redstone_block securitycraft:universal_block_reinforcer securitycraft:universal_block_reinforcer_lvl3
securitycraft:universal_block_remover | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:shears securitycraft:universal_block_remover
securitycraft:universal_key_changer | minecraft:crafting_shaped | c:dusts/redstone c:ingots/iron minecraft:crafting_shaped securitycraft:laser_block securitycraft:universal_key_changer
securitycraft:universal_owner_changer | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:name_tag securitycraft:universal_block_modifier securitycraft:universal_owner_changer
securitycraft:username_logger | minecraft:crafting_shaped | c:dusts/redstone minecraft:crafting_shaped securitycraft:portable_radar securitycraft:reinforced/stone_crafting_materials securitycraft:username_logger
securitycraft:white_lens | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:lens securitycraft:reinforced_white_stained_glass_pane
securitycraft:whitelist_module | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:paper securitycraft:modules securitycraft:whitelist_module
securitycraft:wire_cutters | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:shears securitycraft:wire_cutters
securitycraft:yellow_lens | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:lens securitycraft:reinforced_yellow_stained_glass_pane
