createfood:crafting/shaped/apple_cream_cake_from_shaped | minecraft:crafting_shaped | c:apple_cream_frosting_piping_bag c:cake_base createfood:apple_cream_cake createfood:enabled minecraft:crafting_shaped
createfood:create/compacting/apple_popsicle_from_compacting | create:compacting | c:apple create:compacting createfood:apple_popsicle createfood:enabled fabric:all_mods_loaded minecraft:ice minecraft:stick neoforge:mod_loaded
createfood:create/compacting/bar_of_dark_chocolate_from_compacting_dark_chocolate | create:compacting | c:dark_chocolate create:compacting createfood:bar_of_dark_chocolate createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/bar_of_white_chocolate_from_compacting_white_chocolate | create:compacting | c:white_chocolate create:compacting createfood:bar_of_white_chocolate createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/beef_meatball_from_compacting_heated | create:compacting | c:ground_beef create:compacting createfood:beef_meatball createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/berry_jam_fluid_from_compacting | create:compacting | c:sugar create:compacting createfood:berry_jam createfood:enabled fabric:all_mods_loaded minecraft:sweet_berries neoforge:mod_loaded
createfood:create/compacting/berry_juice_fluid_from_compacting | create:compacting | c:sugar c:water create:compacting createfood:berry_juice createfood:enabled fabric:all_mods_loaded minecraft:sweet_berries neoforge:mod_loaded
createfood:create/compacting/berry_popsicle_from_compacting | create:compacting | create:compacting createfood:berry_popsicle createfood:enabled fabric:all_mods_loaded minecraft:ice minecraft:stick minecraft:sweet_berries neoforge:mod_loaded
createfood:create/compacting/breakfast_bar_from_compacting_water | create:compacting | c:cocoa_powder c:egg_powder c:milk_powder c:water create:compacting createfood:breakfast_bar createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/butterscotch_chip_chocolate_cookie_from_compacting_heated | create:compacting | c:butterscotch_chips c:chocolate_sweet_dough create:compacting createfood:butterscotch_chip_chocolate_cookie createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/butterscotch_chip_cookie_from_compacting_heated | create:compacting | c:butterscotch_chips c:sweet_dough create:compacting createfood:butterscotch_chip_cookie createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/butterscotch_chip_muffin_from_compacting_heated_muffin_batter | create:compacting | c:butterscotch_chips c:muffin_batter create:compacting createfood:butterscotch_chip_muffin createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/butterscotch_chip_waffle_from_compacting_heated_waffle_batter | create:compacting | c:butterscotch_chips c:waffle_batter create:compacting createfood:butterscotch_chip_waffle createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/butterscotch_from_compacting_butterscotch | create:compacting | c:butterscotch create:compacting createfood:butterscotch createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/butterscotch_fudge_from_compacting_butterscotch_fudge | create:compacting | c:butterscotch_fudge create:compacting createfood:butterscotch_fudge createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/cacao_butter_from_compacting_cacao_butter | create:compacting | c:cacao_butter create:compacting createfood:cacao_butter createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/cake_base_from_compacting_heated_cake_batter | create:compacting | c:cake_batter create:compacting createfood:cake_base createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/caramel_chip_chocolate_cookie_from_compacting_heated | create:compacting | c:caramel_chips c:chocolate_sweet_dough create:compacting createfood:caramel_chip_chocolate_cookie createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/caramel_chip_cookie_from_compacting_heated | create:compacting | c:caramel_chips c:sweet_dough create:compacting createfood:caramel_chip_cookie createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/caramel_chip_muffin_from_compacting_heated_muffin_batter | create:compacting | c:caramel_chips c:muffin_batter create:compacting createfood:caramel_chip_muffin createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/caramel_chip_waffle_from_compacting_heated_waffle_batter | create:compacting | c:caramel_chips c:waffle_batter create:compacting createfood:caramel_chip_waffle createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/caramel_from_compacting_caramel | create:compacting | c:caramel create:compacting createfood:caramel createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/caramel_fudge_from_compacting_caramel_fudge | create:compacting | c:caramel_fudge create:compacting createfood:caramel_fudge createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/cheese_block_from_compacting_cheese | create:compacting | c:cheese create:compacting createfood:cheese_block createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/cheese_block_from_compacting_heated_milk | create:compacting | c:milk c:salt create:compacting createfood:cheese_block createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/chocolate_cake_base_from_compacting_heated_chocolate_cake_batter | create:compacting | c:chocolate_cake_batter create:compacting createfood:chocolate_cake_base createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/chocolate_chip_chocolate_cookie_from_compacting_heated | create:compacting | c:chocolate_chips c:chocolate_sweet_dough create:compacting createfood:chocolate_chip_chocolate_cookie createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/chocolate_chip_muffin_from_compacting_heated_muffin_batter | create:compacting | c:chocolate_chips c:muffin_batter create:compacting createfood:chocolate_chip_muffin createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/chocolate_chip_waffle_from_compacting_heated_waffle_batter | create:compacting | c:chocolate_chips c:waffle_batter create:compacting createfood:chocolate_chip_waffle createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/chocolate_fudge_from_compacting_chocolate_fudge | create:compacting | c:chocolate_fudge create:compacting createfood:chocolate_fudge createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/chocolate_graham_cracker_from_compacting_heated | create:compacting | c:butter c:chocolate_sweet_dough c:honey c:milk create:compacting createfood:chocolate_graham_cracker createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/chorus_cookie_from_compacting_heated | create:compacting | c:sweet_dough create:compacting createfood:enabled ends_delight:chorus_cookie ends_delight:chorus_fruit_grain fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/chorus_fruit_cookie_from_compacting_heated | create:compacting | c:sweet_dough create:compacting createfood:chorus_fruit_cookie createfood:enabled fabric:all_mods_loaded minecraft:chorus_fruit neoforge:mod_loaded
createfood:create/compacting/chorus_fruit_jam_fluid_from_compacting | create:compacting | c:chorus_fruit c:sugar create:compacting createfood:chorus_fruit_jam createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/chorus_fruit_juice_fluid_from_compacting | create:compacting | c:chorus_fruit c:sugar c:water create:compacting createfood:chorus_fruit_juice createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/chorus_fruit_popsicle_from_compacting | create:compacting | c:chorus_fruit create:compacting createfood:chorus_fruit_popsicle createfood:enabled fabric:all_mods_loaded minecraft:ice minecraft:stick neoforge:mod_loaded
createfood:create/compacting/coffee_toffee_from_compacting_coffee_toffee | create:compacting | c:coffee_toffee create:compacting createfood:coffee_toffee createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/coffee_toffee_fudge_from_compacting_toffee_fudge | create:compacting | c:coffee_toffee_fudge create:compacting createfood:coffee_toffee_fudge createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/compat/expandeddelight/snickerdoodle_from_compacting_heated | create:compacting | c:dusts/cinnamon c:sugar c:sweet_dough create:compacting createfood:enabled expandeddelight:snickerdoodle fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/compat/expandeddelight/sugar_cookie_from_compacting_heated | create:compacting | c:sugar c:sweet_dough create:compacting createfood:enabled expandeddelight:sugar_cookie fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/compat/farmersrespite/green_tea_cookie_from_compacting | create:compacting | c:crops/green_tea_leaves c:sweet_dough create:compacting createfood:enabled fabric:all_mods_loaded farmersrespite:green_tea_cookie neoforge:mod_loaded
createfood:create/compacting/compat/frightsdelight/flesh_cookie_from_compacting_heated | create:compacting | c:sweet_dough create:compacting createfood:enabled fabric:all_mods_loaded frightsdelight:flesh_cookie minecraft:rotten_flesh neoforge:mod_loaded
createfood:create/compacting/compat/frightsdelight/soul_berry_cookie_from_compacting_heated | create:compacting | c:sweet_dough create:compacting createfood:enabled fabric:all_mods_loaded frightsdelight:soul_berry frightsdelight:soul_berry_cookie neoforge:mod_loaded
createfood:create/compacting/compat/frightsdelight/spider_eye_cookie_from_compacting_heated | create:compacting | c:sweet_dough create:compacting createfood:enabled fabric:all_mods_loaded frightsdelight:spider_eye_cookie minecraft:spider_eye neoforge:mod_loaded
createfood:create/compacting/compat/ubesdelight/ginger_cookie_from_compacting_heated | create:compacting | c:sweet_dough c:vegetables/ginger create:compacting createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded ubesdelight:cookie_ginger
createfood:create/compacting/compat/ubesdelight/ube_cookie_from_compacting_heated | create:compacting | c:sweet_dough c:vegetables/ube create:compacting createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded ubesdelight:cookie_ube
createfood:create/compacting/cookie_from_compacting_heated | create:compacting | c:chocolate_chips c:sweet_dough create:compacting createfood:enabled fabric:all_mods_loaded minecraft:cookie neoforge:mod_loaded
createfood:create/compacting/cream_cheese_from_compacting_cream_cheese | create:compacting | c:cream_cheese create:compacting createfood:cream_cheese createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/dark_chocolate_chip_chocolate_cookie_from_compacting_heated | create:compacting | c:chocolate_sweet_dough c:dark_chocolate_chips create:compacting createfood:dark_chocolate_chip_chocolate_cookie createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/dark_chocolate_chip_cookie_from_compacting_heated | create:compacting | c:dark_chocolate_chips c:sweet_dough create:compacting createfood:dark_chocolate_chip_cookie createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/dark_chocolate_chip_muffin_from_compacting_heated_muffin_batter | create:compacting | c:dark_chocolate_chips c:muffin_batter create:compacting createfood:dark_chocolate_chip_muffin createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/dark_chocolate_chip_waffle_from_compacting_heated_waffle_batter | create:compacting | c:dark_chocolate_chips c:waffle_batter create:compacting createfood:dark_chocolate_chip_waffle createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/dark_chocolate_fudge_from_compacting_dark_chocolate_fudge | create:compacting | c:dark_chocolate_fudge create:compacting createfood:dark_chocolate_fudge createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/egg_yolk_egg_whites_fluid_from_compacting | create:compacting | c:cloth_filter_egg create:compacting createfood:cloth_filter createfood:egg_whites createfood:egg_yolk createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/endermite_meatball_from_compacting_heated | create:compacting | c:ground_endermite create:compacting createfood:enabled createfood:endermite_meatball fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/fishcake_from_compacting_heated | create:compacting | c:bread_crumbs c:foods/raw_fish create:compacting createfood:enabled createfood:fishcake fabric:all_mods_loaded minecraft:dried_kelp neoforge:mod_loaded
createfood:create/compacting/glow_berry_cookie_from_compacting_heated | create:compacting | c:sweet_dough create:compacting createfood:enabled createfood:glow_berry_cookie fabric:all_mods_loaded minecraft:glow_berries neoforge:mod_loaded
createfood:create/compacting/glow_berry_jam_fluid_from_compacting | create:compacting | c:sugar create:compacting createfood:enabled createfood:glow_berry_jam fabric:all_mods_loaded minecraft:glow_berries neoforge:mod_loaded
createfood:create/compacting/glow_berry_juice_fluid_from_compacting | create:compacting | c:sugar create:compacting createfood:enabled createfood:glow_berry_juice fabric:all_mods_loaded minecraft:glow_berries minecraft:water neoforge:mod_loaded
createfood:create/compacting/glow_berry_popsicle_from_compacting | create:compacting | create:compacting createfood:enabled createfood:glow_berry_popsicle fabric:all_mods_loaded minecraft:glow_berries minecraft:ice minecraft:stick neoforge:mod_loaded
createfood:create/compacting/graham_cracker_from_compacting_heated | create:compacting | c:butter c:honey c:milk c:sweet_dough create:compacting createfood:enabled createfood:graham_cracker fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/grilled_cheese_from_compacting_heated | create:compacting | c:bread_slice c:cheeses create:compacting createfood:enabled createfood:grilled_cheese_sandwich fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/grilled_cheese_from_compacting_heated_alt | create:compacting | c:cheese_sandwich create:compacting createfood:enabled createfood:grilled_cheese_sandwich fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/ground_sausage_from_compacting | create:compacting | c:foods/raw_beef c:foods/raw_chicken c:foods/raw_pork create:compacting createfood:enabled createfood:ground_sausage fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/honey_cookie_from_compacting_heated | create:compacting | c:honey c:sweet_dough create:compacting createfood:enabled fabric:all_mods_loaded farmersdelight:honey_cookie neoforge:mod_loaded
createfood:create/compacting/magma_cream_marshmallow_from_compacting_heated | create:compacting | c:magma_gelatin c:sugar c:water create:compacting createfood:enabled createfood:magma_cream_marshmallow fabric:all_mods_loaded fabric:tags_populated minecraft:item neoforge:mod_loaded neoforge:not neoforge:tag_empty
createfood:create/compacting/marshmallow_butterscotch_fudge_from_compacting_butterscotch_fudge | create:compacting | c:butterscotch_fudge c:marshmallow create:compacting createfood:enabled createfood:marshmallow_butterscotch_fudge fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/marshmallow_caramel_fudge_from_compacting_caramel_fudge | create:compacting | c:caramel_fudge c:marshmallow create:compacting createfood:enabled createfood:marshmallow_caramel_fudge fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/marshmallow_chocolate_fudge_from_compacting_chocolate_fudge | create:compacting | c:chocolate_fudge c:marshmallow create:compacting createfood:enabled createfood:marshmallow_chocolate_fudge fabric:all_mods_loaded neoforge:mod_loaded
